eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificme,Commonme,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude N,Longitude W,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode,Comments
S3MR,S3MR 1,CameraTrap,11/09/2025,Animalia,Rodentia,Sciurus vulgaris,Red Squirrel,Species,1,1,Individual,Present,N 055°69.919,W 005°28.530,,,,WGS84,SCO,
N2MR,N2MR 1,CameraTrap,10/09/2025,No records,No records,No records,No records,No records,0,0,,Absent,N 055°70.727,W 005°28.102,,,,WGS84,SCO,
S3MR,S3MR 2,CameraTrap,10/09/2025,No records,No records,No records,No records,No records,0,0,,Absent,N 055°69.738,W 005°28.134,,,,WGS84,SCO,
N3MR,N3MR 1,CameraTrap,10/09/2025,No records,No records,No records,No records,No records,0,0,,Absent,N 055°70.760,W 005°27.946,,,,WGS84,SCO,
N1MR,N1MR 1,Humanobservation,09/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Individual,Present,N 055°70.738,W 005°27.611,,,,WGS84,SCO,"Many ind, faeces as well"
N1MR,N1MR 2,Humanobservation,09/09/2025,Animalia,Artiodactyla,Ovis sp.,Domestic sheep,Genus,1,1,Individual,Present,N 055°70.426,W 005°27.224,,,,WGS84,SCO,"Few ind, faeces as well"
N2MR,N2MR 2,Humanobservation,10/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Individual,Present,N 055°70.534,W 005°26.875,,,,WGS84,SCO,"Many ind, faeces as well"
N2MR,N2MR 3,Humanobservation,10/09/2025,Animalia,Artiodactyla,Ovis sp.,Domestic sheep,Genus,1,1,Individual,Present,N 055°70.583,W 005°26.983,,,,WGS84,SCO,"Few ind, faeces as well"
N2MR,N2MR 4,Humanobservation,11/09/2025,Animalia,Carnivora,Meles meles,Badger,Species,1,1,Individual,Present,N 055°70.731,W 005°27.867,,,,WGS84,SCO,
N3MR,N3MR 2,Humanobservation,12/09/2025,Animalia,Rodentia,Sciurus vulgaris,Red Squirrel,Species,2,2,Individual,Present,N 055°70.328,W 005°27.880,,,,WGS84,SCO,
N3MR,N3MR 3,Humanobservation,12/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Individual,Present,N 055°70.528,W 005°28.117,,,,WGS84,SCO,"Many ind, faeces as well"
S1MR,S1MR 1,Humanobservation,11/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Faeces,Present,N 055°69.590,W 005°28.581,,,,WGS84,SCO,Just faeces
S2MR,S2MR 1,Humanobservation,10/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Individual,Present,N 055°69.755,W 005°28.505,,,,WGS84,SCO,"Few ind, faeces as well"
S3MR,S3MR 3,Humanobservation,12/09/2025,Animalia,Artiodactyla,Ovis sp.,Domestic sheep,Genus,1,1,Individual,Present,N 055°69.893,W 005°28468,,,,WGS84,SCO,"Many ind, faeces as well"
S3MR,S3MR 3,Humanobservation,12/09/2025,Animalia,Artiodactyla,Cervus elaphus,Red dear,Species,1,1,Individual,Present,N 055°69.718,W 005°28258,,,,WGS84,SCO,"Many ind, faeces as well"
N1B,N1B 1,Humanobservation,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,6,6,Individual,Present,,,,,,,,
S2B,S2B 1,Humanobservation,11/09/2025,Animalia,Vertebrata,falco tinnunculus,Common kestrel,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B 1,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,3,3,Flock,Present,,,,,,,,
N3B,N3B 2,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,4,4,Flock,Present,,,,,,,,
