eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature (C°),Precipitation,Visibility,Wind (Beaufort scale),Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode,
S3MR,,FALSE,10/09/2025,19:00,Camera trap,48 hours,15,metres^2,South hill east,5,None,Clear,no recorded,N 055°69.919,W 005°28.530,100%,,,WGS84,SCO,
N2MR,,FALSE,10/09/2025,19:00,Camera trap,48 hours,15,metres^2,North hill west,no recorded,None,Clear,no recorded,N 055°70.727,W 005°28.102,,,,WGS84,SCO,
S3MR,,FALSE,10/09/2025,19:00,Camera trap,48 hours,15,metres^2,South hill bog,no recorded,None,Clear,no recorded,N 055°69.738,W 005°28.134,,,,WGS84,SCO,
N3MR,,FALSE,10/09/2025,19:00,Camera trap,48 hours,15,metres^2,North hill west,no recorded,None,Clear,no recorded,N 055°70.760,W 005°27.946,,,,WGS84,SCO,
N1MR,,FALSE,09/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,1.13,kilometres ,North Hill,10,Light-moderate,Clear,2,N 055°70.906,W 005°27.806,,,,WGS84,SCO,
N2MR,,FALSE,10/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,1.13,kilometres ,North Hill,13,Light-moderate,Clear,no recorded,N 055°70.839,W 005°27.988,,,,WGS84,SCO,
N3MR,,FALSE,11/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,1.32,kilometres ,North Hill,12,Light-moderate,Clear,4,N 055°70.535,W 005°28.160,,,,WGS84,SCO,
S1MR,,FALSE,09/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,0.44,kilometres ,South hill,10,Light-moderate,Clear,2,N 055°70.010,W 005°28.508,,,,WGS84,SCO,
S2MR,,FALSE,10/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,0.49,kilometres ,South hill,13,Light-moderate,Clear,no recorded,N 055°69.870,W 005°28.627,,,,WGS84,SCO,
S3MR,,FALSE,11/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,0.55,kilometres ,South hill,12,Light-moderate,Clear,no recorded,N 055°69.805,W 005°28.741,,,,WGS84,SCO,
N1B,,TRUE,10/09/2025,06:55,Walking transect ,Average of 30 minute walk along transect,1.2,Kilometres,North Hill,,Light,High,High,,,,,,WGS84,SCO,
S2B,,TRUE,11/09/2025,06:30,Walking transect ,Average of 30 minute walk along transect,0.69,Kilometres,South Hill,10,Light,High,Low,N55 42.0486,W5 17.3166,,N55 41.75,W5 17. 0135833,TRF (OS),SCO,
N3B,,TRUE,12/09/2025,648,Walking transect ,Average of 30 minute walk along transect,1.42,Kilometres,North Hill,,Light,High,High,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO,
N3B_OoB,N3B,FALSE,12/09/2025,648,Walking transect ,Average of 30 minute walk along transect,1.42,Kilometres,North Hill,,Light,High,High,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO,Out of bounds bird obs N3B
NB_I,,TRUE,,,Incidental observations throughout survey,,,,North Hill,,,,,,,,,,,,North side birds incidental observations 
